;Nazwa;Kategoria;zdjecie;Cena zawiera podatek. (brutto);Opis;Ilosc
24;  Eos - duża lampa wisząca, jasnoszary klosz ;34;"https://lw-cdn.com/images/FE232828FD4B/k_a5037a76be1f1f7dd73aa2c086195b62;w_353;h_353;q_70/eos-duza-lampa-wiszaca-jasnoszary-klosz.jpg";1105,61zł;Designerska lampa wisząca Eos large, jasnoszara  Duża lampa wisząca Eos natychmiast przyciąga wzrok, co z jednej strony wynika z jej niezwykłego wyglądu, a z drugiej związane jest z fantastycznymi efektami świetlnymi, jakie daje ta lampa wszędzie tam, gdzie się znajdzie. Zawdzięcza to zarówno samej konstrukcji klosza, jak i wykorzystywanym do jego stworzenia naturalnym materiałom. Jasnoszary klosz składa się z ok. 4 500 naturalnych gęsich piór. Tym samym Eos large stanowi wspaniałą atrakcję, zarówno wtedy, gdy jest wyłączona, jak i wtedy, kiedy ją załączymy.  Duńczyk Søren Ravn Christensen jest odpowiedzialny za design. Udało mu się w najpiękniejszy sposób wprowadzić w życie maksymę UMAGE, wedle której skandynawski design winien charakteryzować się czystym pięknem i naturalnością. Odbywa się to również z należytym uwzględnieniem kwestii ochrony środowiska i trwałości produktów.  Wskazówka: Jeśli na lampie osiądzie kurz, można go łatwo usunąć suszarką do włosów.  - Nie użyto tu piór żywych zwierząt.Pobierz:   Instrukcja obsługi                    (3.8 MB)    Specyfikacja techniczna                    (1.1 MB) ;50
25;  Lucande Parena lampa wisząca ze szklanymi kloszami ;34;"https://lw-cdn.com/images/D27F67C957CA/k_201fd7f2f8a729a8678a0fefe9251a37;w_353;h_353;q_70/lucande-parena-lampa-wiszaca-ze-szklanymi-kloszami.jpg"; 906,42zł ;Dziewięciolampowa lampa wisząca Parena z kloszami ze szkła  Lampa wisząca Parena przekonuje nowoczesnym wyglądem, który charakteryzuje się kontrastami kolorów i materiałów. Obudowa tej lampy została wykonana z solidnego żelaza i poddana obróbce z matowym, czarnym wykończeniem. Klosze wykonane są ze szkła i stanowią piękny kontrast dla ramy.  Parena oferuje dobre oświetlenie dzięki dziewięciu palącym się punktom i może być umieszczona zarówno nad ladą, jak i nad większym stołem w jadalni. Wykorzystanie jest możliwe zarówno we własnych czterech ścianach, jak i w obszarze hotelarstwa czy gastronomii. Pobierz:   Instrukcja obsługi                    (297 KB) ;50
26;  Lampa wisząca Tulipani ze szkła z Murano, 45 cm ;34;"https://lw-cdn.com/images/079380D8B67A/k_4feae275ae230c9464ebc86614d569fe;w_353;h_353;q_70/lampa-wiszaca-tulipani-ze-szkla-z-murano-45-cm.jpg";3189,35zł;Lampa wisząca Tulipani z przezroczystym i białym szkłem z Murano  Źródło światła jest niewidoczne w przypadku tej lampy wiszącej ze szkła z Murano, ponieważ zostało ono zakryte lekko wygiętymi szklanymi elementami. Światło jest przytłumiane przed wypłynięciem i wypełnia pomieszczenie w miękki i równomierny sposób. Szklane dekory przypominają swoim rozmieszczeniem pięknie zdobioną rybę lub upierzenie pięknego ptaka. Poszczególne elementy zostały polakierowane na środki w kolorze białym i zamykają obrzeże, co wygląda niezwykle elegancko. Dekoracyjna lampa wisząca na wiele okazji, do wielu stylów i pomieszczeń. ;50
27;  Dyberg Larsen Illumin Philo lampa wisząca zielona ;34;"https://lw-cdn.com/images/0A155C2A7DD8/k_8df926f19f0f8b7d208c551babade9a0;w_353;h_353;q_70/dyberg-larsen-illumin-philo-lampa-wiszaca-zielona.jpg";486,10zł;Lampa wisząca Illumin Philo - designerska lampa w efektownym zielonym kolorze  Niezliczone liście z tworzywa sztucznego w kształcie liści filodendrona tworzą efektowny zielony klosz lampy wiszącej Illumin Philo, która staje się elementem przyciągającym wzrok w każdym pomieszczeniu. Są one ułożone na drutach wokół środka i otaczają żarówkę E27 (nie dołączona). Jego światło rozproszone i efektowne prześwituje przez szczeliny do otoczenia i uwypukla liście w cieniu. Ze względu na białą spodnią stronę liści, zieleń liści wydaje się jaśniejsza lub ciemniejsza w zależności od odbicia światła.  Frank Kerdil, duński projektant produktów, wielokrotnie nagradzany za swoje projekty, zaprojektował serię lamp wiszących Illumin dla firmy oświetleniowej Dyberg Larsen, również z siedzibą w Danii. Do lampy dołączony jest biały, powlekany tkaniną kabel o długości 300 cm, róża sufitowa Rosetta® oraz ściereczka antystatyczna do czyszczenia. ;50
28;  Axolight Mountain View lampa przezroczysty-chrom ;34;"https://lw-cdn.com/images/5FA918BA9A42/k_ecbc3f8e0bf32bea72dbf539154e829e;w_353;h_353;q_70/axolight-mountain-view-lampa-przezroczysty-chrom.jpg"; 7536,50zł ;Designerska lampa wisząca Mountain View ma zapierający dech w piersiach widok  Projektując tę nadzwyczajną lampę wisząca LED, rosyjski projektant Dima Loginoff wykonał kawał dobrej roboty: Jasność klasycznie ukształtowanego szklanego klosza z dmuchanego szkła stanowi perfekcyjną ramę dla górskiego masywu, który rozpościera się pod ochronnym szkłem, niczym zabezpieczony na wieczność. Górski krajobraz ze wszystkimi dolinami i wzniesieniami jest oświetlany przez zamontowane na środku u góry źródło światła LED o barwie ciepłej bieli, dzięki czemu powstaje wrażenie, jakby południowe słońce znajdowało się w zenicie, oświetlając góry pełnym blaskiem. Unikatowy wygląd Mountain View w połączeniu z najróżniejszymi stylami urządzenia wnętrz jest elementem przyciągającym wzrok, którego urokowi nie oprze się żaden obserwator. Ponadto ta ekstrawagancka designerska lampa wisząca LED włoskiego producenta lamp Axo Light, którego początki sięgają roku 1996 i który jest znany ze swoich wysokiej jakości produktów do przyjemnego oświetlenia otoczenia, które jest niezbędne dla stworzenia przytulnej atmosfery ;50
29;  Louis Poulsen PH 4/3 – lampa wisząca, 40 cm ;34;"https://lw-cdn.com/images/3EAABC1959B6/k_399fc7c666850aee54f2848eb32b8f2b;w_353;h_353;q_70/louis-poulsen-ph-4-3-lampa-wiszaca-40-cm.jpg";2030,00zł;Atrakcyjnie zaprojektowana lampa wisząca PH 4/3 – 40 cm średnicy  Lampa wisząca PH 4/3 wygląda bardzo dekoracyjnie, gdy jest wyłączona. Ma ona bowiem atrakcyjny potrójny klosz. Gdy tylko światło zostanie włączone, ujawnia się prawdziwe piękno tego sprawdzonego i wizualnie ciągle nowego źródła światła.  Ponadczasowość designu sprawia, że obserwator nawet nie przypuszcza, że potrójna struktura klosza istnieje od 1925/26 roku, kiedy to duński projektant Poul Henningsen stworzył ten właśnie wariant, starając się uzyskać lampę, emitującą światło, które zupełnie nie oślepia. Podobnie jak klosze z tamtych czasów, tak samo i dziś klosz lampy wiszącej PH 4/3 wykonany jest z metalu, w tym przypadku z ciągnionego aluminium, lakierowanego na biało.  Światło emitowane przez lampę jest skierowane głównie w dół i bardzo równomiernie i komfortowo oświetla otoczenie, na przykład w jadalni.  Firma oświetleniowa Louis Poulsen przywiązuje dużą wagę do maksymy „forma podąża za funkcją”, która zapewnia, że światło jest uwzględnione w projektach i że produkty wyglądają estetycznie, gdy są włączone i wyłączone. Pobierz:   Instrukcja obsługi                    (837 KB)    Photometric Data LDT                    (837 Bytes) ;50
30;  New Works Tense lampa wisząca LED, recykling 100% ;34;"https://lw-cdn.com/images/101C071FB8F8/k_8ab76fed3f6292dcde6ee8619d0d7f75;w_353;h_353;q_70/new-works-tense-lampa-wiszaca-led-recykling-100.jpg";2228,90zł;Wyrazista lampa wisząca LED Tense wykonana z materiału Tyvek nadającego się w 100% do recyklingu  Lampa wisząca Tense prezentuje się wdzięcznie i z pewną lekkością, która potrafi przekonać do siebie zarówno w nowoczesnych salonach, jak i w pomieszczeniach komercyjnych. Klosz, który składa się z papierowego i półprzezroczystego materiału Tyvek, w 100% nadaje się do recyklingu, a jego zwiewny wygląd przypomina delikatną chmurę. Innowacyjną konstrukcję oświetla najnowocześniejsza technologia oświetleniowa LED.  Lampa wisząca Tense pochodzi od New Works, duńskiego producenta oświetlenia, którego projekty oświetleniowe opierają się na skandynawskiej historii rzemiosła i materiałowości. Projektanci Panter & Tourron stworzyli w ten sposób oprawę oświetleniową, która swoim designem przesuwa granice współczesnego wzornictwa. ;50
31;  Lampa wisząca Jube SP 1 P ze szkła ;34;"https://lw-cdn.com/images/D0E276AF4152/k_0136e0c60744ec12187324c78471ccc9;w_353;h_353;q_70/lampa-wiszaca-jube-sp-1-p-ze-szkla.jpg";2549,90zł;Lampa wisząca LED Jube z kloszem z przezroczystego szkła  Lampa wisząca LED Jube prezentuje się elegancko w znany i jednocześnie bardzo modny sposób. Atrakcyjny podwójny układ optyczny z wiszącą lampą LED w środku i przezroczystym kloszem zewnętrznym przypomina lampy z lat 60-tych, w wyglądzie, który nigdy nie wydaje się wychodzić z mody. Jube nadaje się do ogólnego oświetlenia pomieszczeń, jak również do bardzo komfortowego oświetlenia stołu.  Projektanci Favaretto & Partner z Padwy (Włochy) otrzymali nagrodę Archiproducts Design Award 2017 za serię opraw Jube.  - z dmuchanym w usta, wielowarstwowym szkłem ;50
32;  Lampa wisząca Clyde 130 cm ;34;"https://lw-cdn.com/images/921CD2B708A1/k_4d6513efac27e27929ab89432332270e;w_353;h_353;q_70/lampa-wiszaca-clyde-130-cm.jpg"; 634,07zł ;Szklana oprawa wisząca Clyde z estetycznie rowkowanym kloszem  Oprawa wisząca Clyde przyciąga wszystkie oczy atrakcyjnym, dmuchanym w usta kloszem o atrakcyjnej, rowkowanej strukturze nawet po wyłączeniu. Po włączeniu oferuje nieporównywalnie piękne oświetlenie otoczenia, które rozciąga się we wszystkich kierunkach i ozdobnie oświetla każde miejsce w pomieszczeniu.  Clyde może być używany na przykład do oświetlania stołów jadalnych lub jako źródło światła nad stołem bocznym w części siedzącej. Zaaranżowany indywidualnie lub w grupie, tworzy bardzo szczególną atmosferę dobrego samopoczucia ze światłem bogatym w refleksy.  - Ręcznie robione we Włoszech ;50
33;  Artemide nh S3 14 lampa wisząca, 3-punktowa ;34;"https://lw-cdn.com/images/5EBBCD3FFCC3/k_c1bc2859560f67e0c4a7eb23712c7fcc;w_353;h_353;q_70/artemide-nh-s3-14-lampa-wiszaca-3-punktowa.jpg"; 3109,67zł ;3-punktowa lampa wisząca nh S3 14 z elastycznym ustawieniem  Praca duetu projektantów Neri&Hu opiera się na dynamice i badaniach. Podczas gdy te ostatnie są rozumiane jako narzędzie projektowe, realizacja elementów poznawczych odbywa się w dynamicznym współdziałaniu doświadczenia, detalu, materiału, formy i światła, co doskonale widać w 3-punktowej lampie wiszącej nh S3 14.  Dzięki trzem ruchomym aluminiowym ramionom, na których zawieszone są kule wykonane z satynowanego dmuchanego szkła, lampa wisząca pozwala na wysoki stopień indywidualnego dopasowania oświetlenia. nh S3 14 sprawia wrażenie nieskończonych krajobrazów oświetleniowych z zastosowaniem elementu przypominającego latarnię, którego pierwowzór można odnaleźć w tradycji orientalnej.  Włoska firma produkująca lampy Artemide, założona w 1960 roku przez Ernesto Gismondiego, znana jest ze swoich niepowtarzalnych lamp, które są produkowane przy użyciu sprawdzonych, nowoczesnych metod produkcji i materiałów wysokiej jakości. Nowoczesna technologia, dobre samopoczucie człowieka i świadomość ekologiczna to kolejne filary wizji Artemide. Pobierz:   Specyfikacja techniczna                    (121 KB)    Instrukcja obsługi                    (2.8 MB)    Instrukcja obsługi 2                    (2.8 MB)    Light distribution curve                    (100 KB)    Photometric Data IES                    (3 KB)    Photometric Data LDT                    (4 KB)    File Dialux                    (2.7 MB) ;50
34;  Innermost Boule lampa wisząca, kulista ;34;"https://lw-cdn.com/images/30C13DC6CF76/k_970b7bb04a9674751099b1ecba372063;w_353;h_353;q_70/innermost-boule-lampa-wiszaca-kulista.jpg";569,90zł;Lampa wisząca Boule design, minimalistyczna i nowoczesna  Niezależnie od tego, czy używane jako pojedyncze światło, czy w połączeniu z kilkoma z tych wyjątkowo pięknych wiszących świateł, Boule stawia światło dokładnie tam, gdzie jest potrzebne i otacza źródło światła estetycznym ciałem. Kulista i wypolerowana na wysoki połysk, elegancka oprawa oświetleniowa ze stali nierdzewnej inspiruje plecionym kablem przymocowanym do czaszy w kształcie lejka. Dzięki czterometrowej długości przewodu można go dowolnie skracać w trakcie instalacji i dostosowywać do okoliczności. Odcień jest otwarty tylko na dole i nie pozwala na ucieczkę światła dookoła - zamiast tego, powierzchnia odbija efekty w otoczeniu i odbija je. Wiązka światła jest skierowana bezpośrednio w dół i oświetla powierzchnie stołów i lady w pomieszczeniach prywatnych i publicznych.  - Nadaje się do żarówek GU10 o Ø 5 cm i długości  ;50
35;  Kartel Gè - lampa wisząca LED, przezroczysta ;34;"https://lw-cdn.com/images/6D5E6C6BD0EB/k_c13cccd9ed070777bb14d72c925ff241;w_353;h_353;q_70/kartel-ge-lampa-wiszaca-led-przezroczysta.jpg";798,29zł;Klosz z plisowanego tworzywa sztucznego: oprawa wisząca LED Gè marki Kartell  Kształt klosza lampy wiszącej Gè jest bardzo klasyczny. Lekko stożkowaty, zwęża się ku górze. Jednak to, co czyni go tak nowoczesnym i innowacyjnym, to fakt, że wygląda jak klosz plisowany, ale nie jest wykonany z tkaniny, lecz w całości z tworzywa sztucznego. Dzięki przejrzystości i plisowanej strukturze uzyskuje się promienny blask światła, który zapewnia ogólne oświetlenie i przyjemną atmosferę w pomieszczeniu.  Do najbardziej znanych designerskich dzieł firmy Kartell z siedzibą w Mediolanie należą na przykład krzesło dziecięce K 1340 i wyciskarka do cytryn KS 1481. W dziedzinie oświetlenia jest to model 4006 autorstwa Achille i Piergiacomo Castiglioni z 1959 roku oraz seria Tic Tac, które służą jako okręt flagowy i mają wysoką wartość rozpoznawczą. Wiele z designerskich dzieł mediolańskiej firmy nie tylko otrzymało różne nagrody, ale mimo stosunkowo młodego wieku można je już podziwiać w muzeach i zaliczyć do współczesnej klasyki. ;50
36;  Lampa wisząca Jugen 1-punktowa ;34;"https://lw-cdn.com/images/E1F76BC02DA1/k_249cc47556f5b73f972bae44d347e28f;w_353;h_353;q_70/lampa-wiszaca-jugen-1-punktowa.jpg";478,78zł;Prosta i prosta lampa wisząca Jugen  Lampa wisząca Jugen firmy Miloox to bardzo wdzięczna lampa wisząca, której klosz wykonany jest z dmuchanego szkła mrożonego. Klosz przymocowany jest do mosiężnego uchwytu, który łączy się w cienki mosiężny pręt, a następnie w kabel lampy. Mosiężny pręt jest pomalowany na czarno od połowy długości kabla. Kabel zakończony jest daszkiem, który również wykonany jest z mosiądzu i który mocuje zgrabną lampę do sufitu. Ekonomiczne żarówki LED można włożyć do gniazda E27. ;50
37;  Grok Invisible lampa wisząca LED 00-5693, Ø 15cm ;34;"https://lw-cdn.com/images/6411325686AE/k_ca500470b692b263fb93c0942ccc23c5;w_353;h_353;q_70/grok-invisible-lampa-wiszaca-led-00-5693-o-15cm.jpg";869,84zł;Oprawa wisząca LED Niewidoczna z obrotową głowicą oprawy  Francesc Vilaró jest odpowiedzialny za niepowtarzalny wygląd oprawy wiszącej Invisible LED i jej zmienną funkcjonalność. Dzięki Invisible udało mu się stworzyć oprawę, która mimo lub nawet dzięki prostemu wzornictwu przyciąga wzrok i doskonale integruje się z wieloma nowoczesnymi wariantami mieszkalnymi.  Głowica oprawy może być obracana o 350°, dzięki czemu światło może być zawsze skierowane tam, gdzie jest potrzebne. Jasność może być kontrolowana przez zewnętrzny ściemniacz fazy krawędzi czołowej. Pobierz:   Instrukcja obsługi                    (1.4 MB)    Specyfikacja techniczna                    (216 KB)    Specyfikacja techniczna 2                    (216 KB) ;50
38;  UMAGE Clava lampa wisząca z Cannonball czarna ;34;"https://lw-cdn.com/images/44D511F92876/k_a6e88d2b39f0aa991008f58ea97a91b2;w_353;h_353;q_70/umage-clava-lampa-wiszaca-z-cannonball-czarna.jpg";708,90zł;Wisior Clava - Retro-Look w połączeniu ze skandynawską elegancją  Oprawa wisząca Clava wykonana z wysokiej jakości aluminium gwarantuje, że nie pozostanie niezauważona nawet po wyłączeniu. Jego błyszcząca powierzchnia ma szeroki wzór otworów biegnących dookoła, przez które lampa migocze delikatnie. Efekt świetlny jest bardzo nastrojowy i jednocześnie przytulny. Po włączeniu, do pomieszczenia wrzucany jest ekscytujący wzór, który jest wspierany przez bezpośrednią wiązkę światła w dół.  Źródło światła w stylu retro jest ponadczasowe i zawsze pozostanie nowoczesne. Dzięki swojemu dość delikatnemu, ale efektownemu wyglądowi, oprawa wisząca może być z łatwością zintegrowana z wieloma pomieszczeniami i, szczególnie w połączeniu z innymi oprawami Clava nad ladami lub aneksami kuchennymi, naprawdę robi wrażenie. Okrągłe, kuliste zawieszenie w kolorze czarnym tworzy dyskretne, proste wykończenie, które nie umniejsza piękna klosza.  Projektant Søren Ravn Christensen jest współzałożycielem duńskiej firmy oświetleniowej UMAGE. Swoją działalność rozpoczęli od produkcji ponadczasowych, wysokiej jakości lamp, które charakteryzują się estetyką, prostotą i funkcjonalnością. Zrównoważony rozwój i wyjątkowość są decydujące dla projektów. ;50
